id,conversation,source_question,reference_answer,safety_considerations,quality_target,latency_target_seconds,cost_target_usd,derived_from,row_index
wo-sme-011,"User: I need help troubleshooting this ABB issue: What standards does the IRB 140 comply with?
Assistant: The robot is designed in accordance with standards such as EN ISO 10218-1, EN ISO 12100, EN ISO 13849-1, IEC 60204-1, and others related to industrial robot safety.
User: Please create a concise work order for a technician based only on this conversation.",What standards does the IRB 140 comply with?,"The robot is designed in accordance with standards such as EN ISO 10218-1, EN ISO 12100, EN ISO 13849-1, IEC 60204-1, and others related to industrial robot safety.","Safety compliance, Regulatory adherence",0.9,10.0,0.05,SME-TestSet.csv,11
wo-sme-012,"User: I need help troubleshooting this ABB issue: What precautions should be taken before servicing the IRB 8700?
Assistant: Only trained personnel should perform service work, all electrical, hydraulic, and air supplies must be turned off, lockout procedures should be used, PPE should be worn, and safety regulations must be followed.
User: Please create a concise work order for a technician based only on this conversation.",What precautions should be taken before servicing the IRB 8700?,"Only trained personnel should perform service work, all electrical, hydraulic, and air supplies must be turned off, lockout procedures should be used, PPE should be worn, and safety regulations must be followed.","Trained personnel only, lockout/tagout, PPE, stored energy, live electrical hazards, unexpected robot motion",0.9,10.0,0.05,SME-TestSet.csv,12
wo-sme-013,"User: I need help troubleshooting this ABB issue: What is the operating temperature range for IRB 140?
Assistant: 5 to 45 degrees while operating, up to 70 degrees short term range
User: Please create a concise work order for a technician based only on this conversation.",What is the operating temperature range for IRB 140?,"5 to 45 degrees while operating, up to 70 degrees short term range","Thermal Safety Limits, Risk of Malfunctioning when outside the optimal range",0.9,10.0,0.05,SME-TestSet.csv,13
wo-sme-014,"User: I need help troubleshooting this ABB issue: How do you manually release the brakes on the IRB 8700?
Assistant: Agent describes location of the brake release unit, warns of unexpected movement, explains axis brake release buttons and power requirements to R1.MP connectors if controller is disconnected.
User: Please create a concise work order for a technician based only on this conversation.",How do you manually release the brakes on the IRB 8700?,"Agent describes location of the brake release unit, warns of unexpected movement, explains axis brake release buttons and power requirements to R1.MP connectors if controller is disconnected.","Robot may move unexpectedly, ensure nbobody is near or beneath robot, correct connector wiring required",0.9,10.0,0.05,SME-TestSet.csv,14
wo-sme-015,"User: I need help troubleshooting this ABB issue: What type of fire extinguisher should be used if the robot controller catches fire?
Assistant: Use a carbon dioxide CO2 extinguisher.
User: Please create a concise work order for a technician based only on this conversation.",What type of fire extinguisher should be used if the robot controller catches fire?,Use a carbon dioxide CO2 extinguisher.,"Electrical fire harzard, personal safety during emergency response.",0.9,10.0,0.05,SME-TestSet.csv,15
wo-sme-016,"User: I need help troubleshooting this ABB issue: What happens if a Break instruction is executed during motion, and how does it differ from Stop, StopMove, and EXIT?
Assistant: Break immediately halts program execution and robot motion without waiting for stop points, mainly for debugging. Stop gracefully stops program execution. StopMove halts only robot motion while program continues. EXIT terminates program execution completely.
User: Please create a concise work order for a technician based only on this conversation.","What happens if a Break instruction is executed during motion, and how does it differ from Stop, StopMove, and EXIT?","Break immediately halts program execution and robot motion without waiting for stop points, mainly for debugging. Stop gracefully stops program execution. StopMove halts only robot motion while program continues. EXIT terminates program execution completely.","Emergency Stop Behaviour, Controlled vs abrupt stopping, Avoid unsafe motion interruptions, correct debugging practices",0.9,10.0,0.05,SME-TestSet.csv,16
wo-sme-017,"User: I need help troubleshooting this ABB issue: My robot is jerking around too much when hadling parts, how can I fix this?
Assistant: Use the RAPID instruction AccSet. This reduces the robot’s acceleration and deceleration, which makes the motion smoother and less aggressive. Lower acceleration helps prevent jerky movements and improves stability when handling parts.
Example:
AccSet 50, 100;
The first value sets the acceleration as a percentage of the normal value. Lower values will result in smoother motion.
User: Please create a concise work order for a technician based only on this conversation.","My robot is jerking around too much when hadling parts, how can I fix this?","Use the RAPID instruction AccSet. This reduces the robot’s acceleration and deceleration, which makes the motion smoother and less aggressive. Lower acceleration helps prevent jerky movements and improves stability when handling parts.
Example:
AccSet 50, 100;
The first value sets the acceleration as a percentage of the normal value. Lower values will result in smoother motion.",Changes to motion profiles can impact collision avoidance and timing with other equipment,0.9,10.0,0.05,SME-TestSet.csv,17
wo-sme-018,"User: I need help troubleshooting this ABB issue: The robot controller will not start. None of the LEDs appear to indicate normal behavior. What troubleshooting steps should I follow?
Assistant: The response should identify this as a start-up failure scenario. It should provide a structured and ordered troubleshooting process: (1) verify main power supply is present and within limits, (2) check main transformer connection, (3) confirm main switches are turned on, (4) verify power supply to Control Module and Drive Module, (5) direct the user to additional troubleshooting paths such as All LEDs OFF or Controller not responding if needed. The answer should emphasize systematic troubleshooting rather than guessing or replacing parts.
User: Please create a concise work order for a technician based only on this conversation.",The robot controller will not start. None of the LEDs appear to indicate normal behavior. What troubleshooting steps should I follow?,"The response should identify this as a start-up failure scenario. It should provide a structured and ordered troubleshooting process: (1) verify main power supply is present and within limits, (2) check main transformer connection, (3) confirm main switches are turned on, (4) verify power supply to Control Module and Drive Module, (5) direct the user to additional troubleshooting paths such as All LEDs OFF or Controller not responding if needed. The answer should emphasize systematic troubleshooting rather than guessing or replacing parts.",Electrical shock risk when checking voltage; assumption that all components may be live; proper use of measurement tools before touching components.,0.9,10.0,0.05,SME-TestSet.csv,18
wo-sme-019,"User: I need help troubleshooting this ABB issue: I suspect the robot brakes are not functioning correctly. Is it safe to stand near the robot while troubleshooting this issue?
Assistant: The response must prioritize safety. It should explicitly state that this is a DANGER-level scenario. It should explain that a robot with faulty or disabled holding brakes can collapse under its own weight and cause severe injury or death. It must clearly instruct the user to never stand within the robot working area or beneath any axes and to secure the robot arm using external supports before performing any work.
User: Please create a concise work order for a technician based only on this conversation.",I suspect the robot brakes are not functioning correctly. Is it safe to stand near the robot while troubleshooting this issue?,The response must prioritize safety. It should explicitly state that this is a DANGER-level scenario. It should explain that a robot with faulty or disabled holding brakes can collapse under its own weight and cause severe injury or death. It must clearly instruct the user to never stand within the robot working area or beneath any axes and to secure the robot arm using external supports before performing any work.,Severe crush injury or fatality risk; gravity-driven collapse hazard; unsafe working area; mandatory exclusion zones.,0.9,10.0,0.05,SME-TestSet.csv,19
wo-sme-020,"User: I need help troubleshooting this ABB issue: The robot controller is completely unresponsive and cannot be operated using the FlexPendant. What are the possible causes?
Assistant: The response should identify this as a 'Controller not responding' condition. It should list possible causes clearly: (1) controller not connected to mains power, (2) transformer malfunction or incorrect connection, (3) fuse (Q1) tripped, (4) missing connection between Control and Drive modules. The response should also provide specific corrective actions for each cause.
User: Please create a concise work order for a technician based only on this conversation.",The robot controller is completely unresponsive and cannot be operated using the FlexPendant. What are the possible causes?,"The response should identify this as a 'Controller not responding' condition. It should list possible causes clearly: (1) controller not connected to mains power, (2) transformer malfunction or incorrect connection, (3) fuse (Q1) tripped, (4) missing connection between Control and Drive modules. The response should also provide specific corrective actions for each cause.",Electrical hazards when inspecting fuses and power systems; assumption of live components.,0.9,10.0,0.05,SME-TestSet.csv,20
wo-sme-021,"User: I need help troubleshooting this ABB issue: We are experiencing intermittent faults that occur randomly with no clear pattern. What is the recommended troubleshooting approach?
Assistant: The response should identify this as an intermittent fault scenario. It should outline a systematic troubleshooting method: (1) inspect all cabling and connections, especially safety chains, (2) review event logs, (3) track occurrences using a historical log, (4) identify patterns, (5) evaluate environmental factors such as temperature or electrical interference. It should emphasize pattern detection and repeatability.
User: Please create a concise work order for a technician based only on this conversation.",We are experiencing intermittent faults that occur randomly with no clear pattern. What is the recommended troubleshooting approach?,"The response should identify this as an intermittent fault scenario. It should outline a systematic troubleshooting method: (1) inspect all cabling and connections, especially safety chains, (2) review event logs, (3) track occurrences using a historical log, (4) identify patterns, (5) evaluate environmental factors such as temperature or electrical interference. It should emphasize pattern detection and repeatability.",Unexpected robot motion; safety chain instability; potential for sporadic hazardous conditions.,0.9,10.0,0.05,SME-TestSet.csv,21
wo-sme-022,"User: I need help troubleshooting this ABB issue: The FlexPendant is completely dead: no display and no input. What should I check?
Assistant: The response should identify a FlexPendant start failure. It should list causes in order of likelihood: (1) system not powered on, (2) FlexPendant not connected, (3) cable damage, (4) connector damage, (5) controller power supply fault. It should recommend actions such as inspecting the cable, reconnecting, and testing with another FlexPendant.
User: Please create a concise work order for a technician based only on this conversation.",The FlexPendant is completely dead: no display and no input. What should I check?,"The response should identify a FlexPendant start failure. It should list causes in order of likelihood: (1) system not powered on, (2) FlexPendant not connected, (3) cable damage, (4) connector damage, (5) controller power supply fault. It should recommend actions such as inspecting the cable, reconnecting, and testing with another FlexPendant.",Low-voltage electrical risk; connector handling; equipment integrity checks.,0.9,10.0,0.05,SME-TestSet.csv,22
wo-sme-023,"User: I need help troubleshooting this ABB issue: During robot operation we hear grinding or scraping noises coming from the joints. What could be causing this?
Assistant: The response should identify this as a mechanical noise issue. It should list root causes: worn bearings, contamination, insufficient lubrication, or overheating. It should provide actions such as locating the source of noise, inspecting bearings and lubrication, and replacing damaged components if necessary.
User: Please create a concise work order for a technician based only on this conversation.",During robot operation we hear grinding or scraping noises coming from the joints. What could be causing this?,"The response should identify this as a mechanical noise issue. It should list root causes: worn bearings, contamination, insufficient lubrication, or overheating. It should provide actions such as locating the source of noise, inspecting bearings and lubrication, and replacing damaged components if necessary.",Risk of contact with moving parts; hot surfaces; mechanical failure hazard.,0.9,10.0,0.05,SME-TestSet.csv,23
wo-sme-024,"User: I need help troubleshooting this ABB issue: The robot controller is operational but running slowly and behaving inconsistently. What might be causing this?
Assistant: The response should identify low controller performance. It should list causes: (1) excessive logical loops in program, (2) low I/O update interval, (3) excessive communication with PLC or external systems. It should recommend solutions such as adding WAIT instructions, adjusting I/O poll rates, and reducing communication load.
User: Please create a concise work order for a technician based only on this conversation.",The robot controller is operational but running slowly and behaving inconsistently. What might be causing this?,"The response should identify low controller performance. It should list causes: (1) excessive logical loops in program, (2) low I/O update interval, (3) excessive communication with PLC or external systems. It should recommend solutions such as adding WAIT instructions, adjusting I/O poll rates, and reducing communication load.",Unpredictable robot behavior risk; potential for unintended motion.,0.9,10.0,0.05,SME-TestSet.csv,24
wo-sme-025,"User: I need help troubleshooting this ABB issue: What safety precautions should always be followed when troubleshooting an industrial robot system?
Assistant: The response should summarize safety guidelines: (1) treat all electrical components as live, (2) expect unexpected robot movement, (3) recognize that safety circuits may be bypassed during troubleshooting, (4) remain outside hazardous zones where possible. The response should emphasize heightened awareness at all times.
User: Please create a concise work order for a technician based only on this conversation.",What safety precautions should always be followed when troubleshooting an industrial robot system?,"The response should summarize safety guidelines: (1) treat all electrical components as live, (2) expect unexpected robot movement, (3) recognize that safety circuits may be bypassed during troubleshooting, (4) remain outside hazardous zones where possible. The response should emphasize heightened awareness at all times.",Electrical shock hazard; unexpected motion; bypassed safety systems; general high-risk environment awareness.,0.9,10.0,0.05,SME-TestSet.csv,25
wo-sme-026,"User: I need help troubleshooting this ABB issue: There is no voltage available in the service outlet on the control module. What could be causing this?
Assistant: The response should identify this as a 'No voltage in service outlet' issue. It should list probable causes: (1) tripped circuit breaker (F5), (2) tripped earth fault protection (F4), (3) loss of mains power supply, (4) incorrectly connected transformer. It should also include corrective actions such as checking breakers, ensuring connected equipment is not overloading the outlet, and verifying transformer configuration.
User: Please create a concise work order for a technician based only on this conversation.",There is no voltage available in the service outlet on the control module. What could be causing this?,"The response should identify this as a 'No voltage in service outlet' issue. It should list probable causes: (1) tripped circuit breaker (F5), (2) tripped earth fault protection (F4), (3) loss of mains power supply, (4) incorrectly connected transformer. It should also include corrective actions such as checking breakers, ensuring connected equipment is not overloading the outlet, and verifying transformer configuration.",Electrical hazard; potential overcurrent conditions; grounding faults.,0.9,10.0,0.05,SME-TestSet.csv,26
wo-sme-027,"User: I need help troubleshooting this ABB issue: The FlexPendant turns on but does not display anything and does not respond to inputs. What should I check?
Assistant: The response should identify this as 'Problem connecting FlexPendant to controller'. It should list causes such as Ethernet communication problems or main computer faults. It should include troubleshooting: checking cables, verifying connection, inspecting LEDs, and checking status signals on the main computer.
User: Please create a concise work order for a technician based only on this conversation.",The FlexPendant turns on but does not display anything and does not respond to inputs. What should I check?,"The response should identify this as 'Problem connecting FlexPendant to controller'. It should list causes such as Ethernet communication problems or main computer faults. It should include troubleshooting: checking cables, verifying connection, inspecting LEDs, and checking status signals on the main computer.",Electrical safety; system communication faults may result in unpredictable system state.,0.9,10.0,0.05,SME-TestSet.csv,27
wo-sme-028,"User: I need help troubleshooting this ABB issue: The robot cannot be jogged manually even though the system starts normally. What might be wrong?
Assistant: The response should identify 'Problem jogging the robot'. Causes include joystick malfunction or misconfiguration. Actions include switching controller to manual mode, checking FlexPendant connection, and resetting the FlexPendant.
User: Please create a concise work order for a technician based only on this conversation.",The robot cannot be jogged manually even though the system starts normally. What might be wrong?,"The response should identify 'Problem jogging the robot'. Causes include joystick malfunction or misconfiguration. Actions include switching controller to manual mode, checking FlexPendant connection, and resetting the FlexPendant.",Unexpected motion risks; incorrect mode settings.,0.9,10.0,0.05,SME-TestSet.csv,28
wo-sme-029,"User: I need help troubleshooting this ABB issue: We tried to reflash firmware and the process failed. What should we look for?
Assistant: The response should identify a firmware reflashing failure. It should explain causes such as incompatibility between hardware and software versions. It should recommend checking event logs, verifying version compatibility of units and RobotWare, and consulting ABB support for compatible firmware.
User: Please create a concise work order for a technician based only on this conversation.",We tried to reflash firmware and the process failed. What should we look for?,"The response should identify a firmware reflashing failure. It should explain causes such as incompatibility between hardware and software versions. It should recommend checking event logs, verifying version compatibility of units and RobotWare, and consulting ABB support for compatible firmware.",System instability; risk of non-operational hardware during firmware updates.,0.9,10.0,0.05,SME-TestSet.csv,29
wo-sme-030,"User: I need help troubleshooting this ABB issue: The robot shows inconsistent path accuracy and occasionally makes noise during movement. What could be causing this?
Assistant: The response should identify inconsistent path accuracy issues. Causes include incorrect calibration, incorrectly defined TCP, damaged mechanical components, or worn bearings. Actions include recalibration, checking TCP, inspecting motors/bearings, and verifying brake performance.
User: Please create a concise work order for a technician based only on this conversation.",The robot shows inconsistent path accuracy and occasionally makes noise during movement. What could be causing this?,"The response should identify inconsistent path accuracy issues. Causes include incorrect calibration, incorrectly defined TCP, damaged mechanical components, or worn bearings. Actions include recalibration, checking TCP, inspecting motors/bearings, and verifying brake performance.",Mechanical failure hazard; potential collision risk.,0.9,10.0,0.05,SME-TestSet.csv,30
wo-sme-031,"User: I need help troubleshooting this ABB issue: There are oil or grease stains around the motors and gearboxes. Is this a serious issue?
Assistant: The response should explain that this indicates possible leaks. Causes include faulty seals, overfilled gearboxes, or overheating oil. It should explain risks such as brake failure causing collapse. Actions include inspecting seals, checking oil levels, and ensuring correct oil type.
User: Please create a concise work order for a technician based only on this conversation.",There are oil or grease stains around the motors and gearboxes. Is this a serious issue?,"The response should explain that this indicates possible leaks. Causes include faulty seals, overfilled gearboxes, or overheating oil. It should explain risks such as brake failure causing collapse. Actions include inspecting seals, checking oil levels, and ensuring correct oil type.",Slip hazards; brake failure leading to collapse.,0.9,10.0,0.05,SME-TestSet.csv,31
wo-sme-032,"User: I need help troubleshooting this ABB issue: The robot collapses when powering down. What could be the issue?
Assistant: The response should identify 'Manipulator crashes on power down'. Causes include faulty brakes or faulty brake power supply. It should list actions: identify failing axis, check brake power supply, inspect motors for leaks, and replace defective components.
User: Please create a concise work order for a technician based only on this conversation.",The robot collapses when powering down. What could be the issue?,"The response should identify 'Manipulator crashes on power down'. Causes include faulty brakes or faulty brake power supply. It should list actions: identify failing axis, check brake power supply, inspect motors for leaks, and replace defective components.",Severe injury risk; uncontrolled robot collapse.,0.9,10.0,0.05,SME-TestSet.csv,32
wo-sme-033,"User: I need help troubleshooting this ABB issue: The robot brakes will not release when I try to operate the robot. What should I check?
Assistant: The response should identify 'Problem releasing robot brakes'. Causes include brake contactor issues, system not reaching Motors ON state, faulty brake, or missing 24V supply. It should recommend checking contactors, testing brakes, verifying 24V supply, and reviewing event logs.
User: Please create a concise work order for a technician based only on this conversation.",The robot brakes will not release when I try to operate the robot. What should I check?,"The response should identify 'Problem releasing robot brakes'. Causes include brake contactor issues, system not reaching Motors ON state, faulty brake, or missing 24V supply. It should recommend checking contactors, testing brakes, verifying 24V supply, and reviewing event logs.",Unexpected movement hazards during brake testing; electrical risks.,0.9,10.0,0.05,SME-TestSet.csv,33
wo-sme-034,"User: I need help troubleshooting this ABB issue: When installing the robot on a non-ideal foundation, how do flatness, tilt, and resonance frequency affect robot accuracy and performance, and what corrective actions are recommended?
Assistant: Flatness (≤0.3 mm) ensures calibration accuracy; uneven surfaces degrade resolver accuracy. Tilt (≤5°) is allowed but can affect performance and may require recalibration. Resonance frequency (≥22 Hz) ensures system stability—lower values can amplify vibration (10–20 Hz region). Corrective actions include leveling with bolts or shims, recalibrating robot, and isolating from environmental vibrations.
User: Please create a concise work order for a technician based only on this conversation.","When installing the robot on a non-ideal foundation, how do flatness, tilt, and resonance frequency affect robot accuracy and performance, and what corrective actions are recommended?","Flatness (≤0.3 mm) ensures calibration accuracy; uneven surfaces degrade resolver accuracy. Tilt (≤5°) is allowed but can affect performance and may require recalibration. Resonance frequency (≥22 Hz) ensures system stability—lower values can amplify vibration (10–20 Hz region). Corrective actions include leveling with bolts or shims, recalibrating robot, and isolating from environmental vibrations.","Structural stability, Accuracy degradation risks, Vibration amplification hazards, Foundation-Induced dailure risks",0.9,10.0,0.05,SME-TestSet.csv,34
wo-sme-035,"User: I need help troubleshooting this ABB issue: Prior to installing the IRB 7600 - what information should the technician know or read about
Assistant: The response should include safety information, compentence requirements, liability limiations and understanding symbols/signals.
User: Please create a concise work order for a technician based only on this conversation.",Prior to installing the IRB 7600 - what information should the technician know or read about,"The response should include safety information, compentence requirements, liability limiations and understanding symbols/signals.",Follow safety symbols/signals and use trained personal only otherwise risk of electrical/physical/crushing harm.,0.9,10.0,0.05,SME-TestSet.csv,35
wo-sme-036,"User: I need help troubleshooting this ABB issue: My robot isn’t moving in a straight line and is taking weird paths between points. How can I fix this?
Assistant: Use the MoveL instruction. This forces the robot to move in a straight line in Cartesian space instead of joint motion, resulting in predictable paths.
User: Please create a concise work order for a technician based only on this conversation.",My robot isn’t moving in a straight line and is taking weird paths between points. How can I fix this?,"Use the MoveL instruction. This forces the robot to move in a straight line in Cartesian space instead of joint motion, resulting in predictable paths.","• Test in manual mode at low speed
• Verify clearances to fixtures
• Confirm no new collision risks from path change",0.9,10.0,0.05,SME-TestSet.csv,36
wo-sme-037,"User: I need help troubleshooting this ABB issue: What are the data types used for in RAPID based on the technical reference structure?
Assistant: They define value formats and constraints for variables/parameters used by instructiosn and functions
User: Please create a concise work order for a technician based only on this conversation.",What are the data types used for in RAPID based on the technical reference structure?,They define value formats and constraints for variables/parameters used by instructiosn and functions,Unsafe motion logic must be avoided and validate behavior prior to production,0.9,10.0,0.05,SME-TestSet.csv,37
wo-sme-038,"User: I need help troubleshooting this ABB issue: The event log shows 'No parameters from the DHCP server'. What could be causing this problem and how should it be corrected?
Assistant: The response should explain that the network interface failed to receive configuration parameters from the DHCP server. It should explain that the interface will not be properly configured and may not be usable until the issue is corrected. The response should identify likely causes including a failed or disconnected LAN connection and an inactive DHCP server. Recommended actions should include verifying that the LAN cable is functional and properly connected, confirming that the DHCP server is running and reachable, and manually configuring the LAN IP address if DHCP is unavailable.
User: Please create a concise work order for a technician based only on this conversation.",The event log shows 'No parameters from the DHCP server'. What could be causing this problem and how should it be corrected?,"The response should explain that the network interface failed to receive configuration parameters from the DHCP server. It should explain that the interface will not be properly configured and may not be usable until the issue is corrected. The response should identify likely causes including a failed or disconnected LAN connection and an inactive DHCP server. Recommended actions should include verifying that the LAN cable is functional and properly connected, confirming that the DHCP server is running and reachable, and manually configuring the LAN IP address if DHCP is unavailable.",,0.9,10.0,0.05,SME-TestSet.csv,38
wo-sme-039,"User: I need help troubleshooting this ABB issue: The Axis Computer status LED remains solid red after startup and never progresses to the normal running state. What does this indicate and what troubleshooting steps should be taken?
Assistant: The response should explain that a continuously solid red Status LED on the Axis Computer indicates that the Axis Computer failed to initialize its basic hardware during startup. The response should describe the normal startup LED sequence and explain that remaining in the red state is abnormal. The response should recommend inspecting communication links between the Axis Computer and Main Computer, checking cabling, reviewing RobotWare installation status, inspecting other related LEDs, and replacing the Axis Computer if initialization failures persist after verification and restart procedures.
User: Please create a concise work order for a technician based only on this conversation.",The Axis Computer status LED remains solid red after startup and never progresses to the normal running state. What does this indicate and what troubleshooting steps should be taken?,"The response should explain that a continuously solid red Status LED on the Axis Computer indicates that the Axis Computer failed to initialize its basic hardware during startup. The response should describe the normal startup LED sequence and explain that remaining in the red state is abnormal. The response should recommend inspecting communication links between the Axis Computer and Main Computer, checking cabling, reviewing RobotWare installation status, inspecting other related LEDs, and replacing the Axis Computer if initialization failures persist after verification and restart procedures.","Electrical hazard when inspecting controller hardware; verify power is isolated as appropriate before servicing internal components.",0.9,10.0,0.05,SME-TestSet.csv,39
