test_prompt,expected_response,safety_considerations,expected_sources,expected_trace,max_total_tokens,max_total_latency
What safety precautions should always be followed when troubleshooting an industrial robot system?,"The response should summarize safety guidelines: (1) treat all electrical components as live, (2) expect unexpected robot movement, (3) recognize that safety circuits may be bypassed during troubleshooting, (4) remain outside hazardous zones where possible. The response should emphasize heightened awareness at all times.",Electrical shock hazard; unexpected motion; bypassed safety systems; general high-risk environment awareness.,Operating manual – Section 1.3 Safety during troubleshooting (page 13),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,400,400ms
There is no voltage available in the service outlet on the control module. What could be causing this?,"The response should identify this as a 'No voltage in service outlet' issue. It should list probable causes: (1) tripped circuit breaker (F5), (2) tripped earth fault protection (F4), (3) loss of mains power supply, (4) incorrectly connected transformer. It should also include corrective actions such as checking breakers, ensuring connected equipment is not overloading the outlet, and verifying transformer configuration.",Electrical hazard; potential overcurrent conditions; grounding faults.,Operating manual – Section 3.5 No voltage in service outlet (pages 38–39),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,500,500ms
The FlexPendant turns on but does not display anything and does not respond to inputs. What should I check?,"The response should identify this as 'Problem connecting FlexPendant to controller'. It should list causes such as Ethernet communication problems or main computer faults. It should include troubleshooting: checking cables, verifying connection, inspecting LEDs, and checking status signals on the main computer.",Electrical safety; system communication faults may result in unpredictable system state.,Operating manual – Section 3.7 Problem connecting FlexPendant (page 41),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,450,500ms
The robot cannot be jogged manually even though the system starts normally. What might be wrong?,"The response should identify 'Problem jogging the robot'. Causes include joystick malfunction or misconfiguration. Actions include switching controller to manual mode, checking FlexPendant connection, and resetting the FlexPendant.",Unexpected motion risks; incorrect mode settings.,Operating manual – Section 3.9 Problem jogging the robot (page 45),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,450,500ms
We tried to reflash firmware and the process failed. What should we look for?,"The response should identify a firmware reflashing failure. It should explain causes such as incompatibility between hardware and software versions. It should recommend checking event logs, verifying version compatibility of units and RobotWare, and consulting ABB support for compatible firmware.",System instability; risk of non-operational hardware during firmware updates.,Operating manual – Section 3.10 Reflashing firmware failure (page 46),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,500,500ms
The robot shows inconsistent path accuracy and occasionally makes noise during movement. What could be causing this?,"The response should identify inconsistent path accuracy issues. Causes include incorrect calibration, incorrectly defined TCP, damaged mechanical components, or worn bearings. Actions include recalibration, checking TCP, inspecting motors/bearings, and verifying brake performance.",Mechanical failure hazard; potential collision risk.,Operating manual – Section 3.11 Inconsistent path accuracy (page 47),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,550,500ms
There are oil or grease stains around the motors and gearboxes. Is this a serious issue?,"The response should explain that this indicates possible leaks. Causes include faulty seals, overfilled gearboxes, or overheating oil. It should explain risks such as brake failure causing collapse. Actions include inspecting seals, checking oil levels, and ensuring correct oil type.",Slip hazards; brake failure leading to collapse.,Operating manual – Section 3.12 Oil and grease stains (page 46),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,500,500ms
The robot collapses when powering down. What could be the issue?,"The response should identify 'Manipulator crashes on power down'. Causes include faulty brakes or faulty brake power supply. It should list actions: identify failing axis, check brake power supply, inspect motors for leaks, and replace defective components.",Severe injury risk; uncontrolled robot collapse.,Operating manual – Section 3.14 Manipulator crashes on power down (page 49–50),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,500,500ms
The robot brakes will not release when I try to operate the robot. What should I check?,"The response should identify 'Problem releasing robot brakes'. Causes include brake contactor issues, system not reaching Motors ON state, faulty brake, or missing 24V supply. It should recommend checking contactors, testing brakes, verifying 24V supply, and reviewing event logs.",Unexpected movement hazards during brake testing; electrical risks.,Operating manual – Section 3.15 Problem releasing robot brakes (page 50–51),Orchestrator -> Search Agent -> Search Tool -> Search Agent -> Orchestrator,550,500ms
"When installing the robot on a non-ideal foundation, how do flatness, tilt, and resonance frequency affect robot accuracy and performance, and what corrective actions are recommended?","Flatness (≤0.3 mm) ensures calibration accuracy; uneven surfaces degrade resolver accuracy. Tilt (≤5°) is allowed but can affect performance and may require recalibration. Resonance frequency (≥22 Hz) ensures system stability—lower values can amplify vibration (10–20 Hz region). Corrective actions include leveling with bolts or shims, recalibrating robot, and isolating from environmental vibrations.","Structural stability, Accuracy degradation risks, Vibration amplification hazards, Foundation-Induced dailure risks",IRB 7600 Page 53-54,Orchestrator -> Search Agent ->Retrieve foundation + performance sections -> combine constraints -> implications -> synthesize -> output response,400,350ms
Prior to installing the IRB 7600 - what information should the technician know or read about,"The response should include safety information, compentence requirements, liability limiations and understanding symbols/signals.",Follow safety symbols/signals and use trained personal only otherwise risk of electrical/physical/crushing harm.,IRB 7600 Page 24-44,Orchestrator -> Search agent -> safety retrieval -> search agent returns signals/symbols/safety handeling  ,300,300ms
My robot isn’t moving in a straight line and is taking weird paths between points. How can I fix this?,"Use the MoveL instruction. This forces the robot to move in a straight line in Cartesian space instead of joint motion, resulting in predictable paths.","• Test in manual mode at low speed
• Verify clearances to fixtures
• Confirm no new collision risks from path change","RAPID, page 264",Orchestrator -> search agent -> retrieve relavant instruction -> summarize -. output response,300,300ms
What are the data types used for in RAPID based on the technical reference structure?,They define value formats and constraints for variables/parameters used by instructiosn and functions ,Unsafe motion logic must be avoided and validate behavior prior to production,RAPID 1083 -1238,Orchestrator -> Search agent -> Retrieve RAPID entry -> Syntax Validations -> Return constrained/summarized answer,220,500ms
